11245876	DarkMaster	3	0	0	60	0	028671
10000000	xXSephirothXx	0	1	2	10	45	748513
84576153	Scobomb	2	2	1	60	0	748513
11235813	Boromir	1	3	1	45	100	928126
47293785	Aragorn	1	4	2	50	200	928126
73892781	Faramir	1	5	2	43	300	028671
34238734	Zoolander	3	6	0	11	111	019274
55555555	FiveFive	2	7	2	5	555	864722
09384228	Burgundy	2	8	1	17	1000	864722
62846129	Factorio	0	0	2	60	0	475186
38192845	Gillan	1	1	2	60	0	475186
73927161	Oswald	3	2	0	60	0	475186
15264173	Bautista	0	3	2	60	0	019274
63718191	TheMother	3	4	2	60	0	475186
72927111	Bowie	1	5	2	60	0	185470
55511224	Grog	2	6	1	55	12000	028671
44121133	Scanlon	0	7	2	47	10110	028671
99999999	Keg	1	8	2	45	12345	028671
88888888	Beauregard	2	0	0	46	777	028671
77777777	Nott	3	1	2	44	234	028671
11445090	Biscuit	2	2	2	49	6765	513487
38003103	Dogma	3	3	1	60	0	726518
16723263	DJShadow	0	4	2	60	0	267481
27319591	Mitski	1	5	2	60	0	267481
47583675	CountDown	2	6	2	60	0	726518
22209894	CallMe	3	7	2	60	0	726518
29653516	GetDown	0	8	1	60	0	864722
45902291	ElecSlide	0	0	2	60	0	864722
66168946	StarBright	1	1	2	60	0	019274
47112722	BATMAN	0	2	0	60	0	019274
59414637	Euler	3	3	1	60	0	475186
83945466	Huskie	2	4	2	60	0	928126
41560349	HackerMan	2	5	2	15	0	928126
60053010	YourDad	0	6	0	60	0	726518
